X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

3.0	629
3.1	650
3.2	617
3.3	478
3.4	412
3.5	322
3.6	260
3.7	221
3.8	195
3.9	185
4.0	162
4.1	159
4.2	144
4.3	121
4.4	115
4.5	100
4.6	111
4.7	103
4.8	119
4.9	118
5.0	114
5.1	119
5.2	108
5.3	128
5.4	166
5.5	238
5.6	254
5.7	127
5.8	134
5.9	158
6.0	233
6.1	466
6.2	710
6.3	580
6.4	175
6.5	151
6.6	150
6.7	143
6.8	140
6.9	150
7.0	159
7.1	153
7.2	158
7.3	174
7.4	160
7.5	163
7.6	158
7.7	158
7.8	154
7.9	151
8.0	176
8.1	224
8.2	280
8.3	287
8.4	280
8.5	264
8.6	279
8.7	286
8.8	297
8.9	272
9.0	276
9.1	271
9.2	263
9.3	265
9.4	280
9.5	272
9.6	289
9.7	251
9.8	257
9.9	257
10.0	250
10.1	261
10.2	277
10.3	262
10.4	225
10.5	236
10.6	255
10.7	261
10.8	235
10.9	222
11.0	261
11.1	274
11.2	248
11.3	222
11.4	224
11.5	218
11.6	203
11.7	223
11.8	211
11.9	194
12.0	200
12.1	185
12.2	215
12.3	218
12.4	384
12.5	393
12.6	267
12.7	182
12.8	165
12.9	178
13.0	171
13.1	173
13.2	158
13.3	136
13.4	158
13.5	157
13.6	148
13.7	156
13.8	157
13.9	137
14.0	126
14.1	134
14.2	120
14.3	120
14.4	123
14.5	117
14.6	131
14.7	140
14.8	125
14.9	103
15.0	117
15.1	107
15.2	100
15.3	108
15.4	95
15.5	91
15.6	116
15.7	100
15.8	84
15.9	99
16.0	118
16.1	102
16.2	103
16.3	104
16.4	113
16.5	103
16.6	111
16.7	131
16.8	123
16.9	121
17.0	108
17.1	105
17.2	94
17.3	116
17.4	104
17.5	95
17.6	115
17.7	126
17.8	116
17.9	114
18.0	111
18.1	107
18.2	116
18.3	108
18.4	113
18.5	113
18.6	123
18.7	124
18.8	146
18.9	169
19.0	125
19.1	97
19.2	110
19.3	111
19.4	96
19.5	104
19.6	105
19.7	107
19.8	93
19.9	101
20.0	112
20.1	100
20.2	105
20.3	112
20.4	93
20.5	105
20.6	109
20.7	105
20.8	95
20.9	104
21.0	112
21.1	112
21.2	93
21.3	98
21.4	110
21.5	99
21.6	105
21.7	103
21.8	90
21.9	101
22.0	101
22.1	88
22.2	91
22.3	111
22.4	112
22.5	112
22.6	95
22.7	108
22.8	111
22.9	86
23.0	104
23.1	111
23.2	92
23.3	93
23.4	96
23.5	103
23.6	99
23.7	98
23.8	92
23.9	97
24.0	95
24.1	97
24.2	100
24.3	91
24.4	98
24.5	108
24.6	99
24.7	92
24.8	110
24.9	98
25.0	92
25.1	100
25.2	90
25.3	101
25.4	118
25.5	112
25.6	98
25.7	122
25.8	100
25.9	93
26.0	103
26.1	92
26.2	110
26.3	92
26.4	105
26.5	101
26.6	96
26.7	100
26.8	99
26.9	98
27.0	100
27.1	107
27.2	95
27.3	94
27.4	110
27.5	105
27.6	95
27.7	93
27.8	114
27.9	101
28.0	96
28.1	108
28.2	88
28.3	95
28.4	105
28.5	106
28.6	103
28.7	95
28.8	113
28.9	95
29.0	89
29.1	93
29.2	103
29.3	102
29.4	83
29.5	100
29.6	102
29.7	105
29.8	98
29.9	95
30.0	109
30.1	103
30.2	104
30.3	108
30.4	107
30.5	99
30.6	102
30.7	111
30.8	101
30.9	95
31.0	94
31.1	96
31.2	103
31.3	90
31.4	101
31.5	86
31.6	109
31.7	97
31.8	103
31.9	99
32.0	97
32.1	84
32.2	95
32.3	99
32.4	85
32.5	106
32.6	100
32.7	95
32.8	103
32.9	101
33.0	114
33.1	96
33.2	99
33.3	105
33.4	94
33.5	92
33.6	100
33.7	112
33.8	98
33.9	100
34.0	98
34.1	104
34.2	105
34.3	94
34.4	103
34.5	89
