X-ray (ID 01) / Crystal angle θ_c	X-ray (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.0	122
5.1	127
5.2	114
5.3	123
5.4	145
5.5	243
5.6	265
5.7	181
5.8	148
5.9	142
6.0	175
6.1	271
6.2	707
6.3	861
6.4	349
6.5	158
6.6	153
6.7	139
6.8	135
6.9	161
7.0	147
7.1	162
7.2	179
7.3	172
7.4	155
7.5	154
7.6	162
7.7	154
7.8	183
7.9	137
8.0	165
8.1	214
8.2	281
8.3	296
8.4	292
8.5	294
8.6	291
8.7	306
8.8	323
8.9	305
9.0	291
9.1	282
9.2	281
9.3	252
9.4	272
9.5	269
9.6	266
9.7	286
9.8	248
9.9	255
10.0	249
10.1	265
10.2	249
10.3	234
10.4	252
10.5	222
10.6	227
10.7	235
10.8	225
10.9	227
11.0	224
11.1	266
11.2	258
11.3	210
11.4	225
11.5	206
11.6	213
11.7	184
11.8	209
11.9	189
12.0	215
12.1	171
12.2	185
12.3	177
12.4	268
12.5	407
12.6	354
12.7	186
12.8	149
12.9	178
13.0	149
13.1	147
13.2	148
13.3	153
13.4	153
13.5	144
13.6	144
13.7	157
13.8	144
13.9	147
14.0	140
14.1	139
14.2	115
14.3	114
14.4	125
14.5	112
14.6	123
14.7	116
14.8	111
14.9	108
15.0	109
15.1	119
15.2	97
15.3	107
15.4	109
15.5	108
15.6	103
15.7	102
15.8	101
15.9	98
16.0	104
16.1	103
16.2	92
16.3	106
16.4	122
16.5	128
16.6	114
16.7	125
16.8	129
16.9	119
17.0	118
17.1	117
17.2	108
17.3	110
17.4	113
17.5	122
17.6	113
17.7	102
17.8	118
17.9	105
18.0	97
18.1	101
18.2	102
18.3	110
18.4	114
18.5	103
18.6	102
18.7	107
18.8	130
18.9	158
19.0	144
19.1	124
19.2	95
19.3	109
19.4	103
19.5	100
19.6	103
19.7	108
19.8	105
19.9	102
20.0	106
20.1	103
20.2	99
20.3	107
20.4	107
20.5	105
20.6	99
20.7	93
20.8	103
20.9	111
21.0	113
21.1	113
21.2	114
21.3	95
21.4	107
21.5	98
21.6	108
21.7	91
21.8	90
21.9	105
22.0	102
22.1	87
22.2	106
22.3	104
22.4	99
22.5	90
22.6	104
22.7	97
22.8	89
22.9	113
23.0	102
23.1	95
23.2	105
23.3	108
23.4	98
23.5	105
23.6	93
23.7	102
23.8	98
23.9	99
24.0	111
24.1	96
24.2	99
24.3	96
24.4	92
24.5	96
24.6	106
24.7	87
24.8	98
24.9	99
25.0	100
25.1	104
25.2	103
25.3	96
25.4	105
25.5	110
25.6	107
25.7	105
25.8	100
25.9	101
26.0	93
26.1	101
26.2	90
26.3	101
26.4	89
26.5	99
26.6	95
26.7	95
26.8	95
26.9	85
27.0	93
27.1	101
27.2	85
27.3	86
27.4	98
27.5	102
27.6	84
27.7	85
27.8	104
27.9	95
28.0	96
28.1	102
28.2	96
28.3	94
28.4	94
28.5	102
28.6	105
28.7	93
28.8	95
28.9	86
29.0	80
29.1	94
29.2	98
29.3	83
29.4	103
29.5	91
29.6	100
29.7	91
29.8	108
29.9	91
30.0	105
30.1	94
30.2	98
30.3	88
30.4	97
30.5	104
30.6	94
30.7	100
30.8	89
30.9	105
31.0	98
31.1	92
31.2	107
31.3	92
31.4	91
31.5	92
31.6	97
31.7	105
31.8	100
31.9	90
32.0	87
32.1	84
32.2	95
32.3	98
32.4	84
32.5	100
32.6	91
32.7	94
32.8	92
32.9	101
33.0	96
33.1	99
33.2	96
33.3	97
33.4	92
33.5	111
33.6	109
33.7	99
33.8	100
33.9	83
34.0	96
34.1	97
34.2	95
34.3	88
34.4	88
34.5	116
34.6	89
34.7	91
34.8	94
34.9	92
35.0	109
35.1	92
35.2	95
35.3	101
35.4	92
35.5	85
35.6	95
35.7	94
35.8	92
35.9	95
36.0	98
36.1	95
36.2	88
36.3	92
36.4	89
36.5	100
36.6	99
36.7	85
36.8	87
36.9	97
37.0	97
37.1	94
37.2	95
37.3	98
37.4	108
37.5	89
37.6	92
37.7	95
37.8	92
37.9	93
38.0	100
38.1	96
38.2	105
38.3	94
38.4	91
38.5	107
38.6	99
38.7	89
38.8	87
38.9	105
39.0	104
39.1	93
39.2	91
39.3	87
39.4	92
39.5	87
39.6	79
39.7	97
39.8	97
39.9	95
40.0	98
