Time	X-ray (ID 01) / Impulse Imp	X-ray (ID 01) / Voltage U	X-ray (ID 01) / Current I	X-ray (ID 01) / Detector angle θ_d	X-ray (ID 01) / Crystal angle θ_c
t/s	Imp/# / s	U/kV	I/mA	θ_d/°	θ_c/°

0.00	48	35.0	1.00	10.0	5.0
2.00	74	35.0	1.00	10.2	5.1
4.00	106	35.0	1.00	10.4	5.2
6.00	130	35.0	1.00	10.6	5.3
8.00	157	35.0	1.00	10.8	5.4
10.00	159	35.0	1.00	11.0	5.5
12.00	174	35.0	1.00	11.2	5.6
14.00	189	35.0	1.00	11.4	5.7
16.00	193	35.0	1.00	11.6	5.8
18.00	203	35.0	1.00	11.8	5.9
20.00	221	35.0	1.00	12.0	6.0
22.00	239	35.0	1.00	12.2	6.1
24.00	230	35.0	1.00	12.4	6.2
26.00	258	35.0	1.00	12.6	6.3
28.00	258	35.0	1.00	12.8	6.4
30.00	265	35.0	1.00	13.0	6.5
32.00	278	35.0	1.00	13.2	6.6
34.00	297	35.0	1.00	13.4	6.7
36.00	290	35.0	1.00	13.6	6.8
38.00	307	35.0	1.00	13.8	6.9
40.00	293	35.0	1.00	14.0	7.0
42.00	305	35.0	1.00	14.2	7.1
44.00	303	35.0	1.00	14.4	7.2
46.00	304	35.0	1.00	14.6	7.3
48.00	300	35.0	1.00	14.8	7.4
50.00	307	35.0	1.00	15.0	7.5
52.00	306	35.0	1.00	15.2	7.6
54.00	336	35.0	1.00	15.4	7.7
56.00	338	35.0	1.00	15.6	7.8
58.00	316	35.0	1.00	15.8	7.9
60.00	317	35.0	1.00	16.0	8.0
62.00	313	35.0	1.00	16.2	8.1
64.00	316	35.0	1.00	16.4	8.2
66.00	331	35.0	1.00	16.6	8.3
68.00	345	35.0	1.00	16.8	8.4
70.00	377	35.0	1.00	17.0	8.5
72.00	372	35.0	1.00	17.2	8.6
74.00	382	35.0	1.00	17.4	8.7
76.00	399	35.0	1.00	17.6	8.8
78.00	422	35.0	1.00	17.8	8.9
80.00	690	35.0	1.00	18.0	9.0
82.00	1050	35.0	1.00	18.2	9.1
84.00	1162	35.0	1.00	18.4	9.2
86.00	759	35.0	1.00	18.6	9.3
88.00	517	35.0	1.00	18.8	9.4
90.00	475	35.0	1.00	19.0	9.5
92.00	440	35.0	1.00	19.2	9.6
94.00	445	35.0	1.00	19.4	9.7
96.00	466	35.0	1.00	19.6	9.8
98.00	462	35.0	1.00	19.8	9.9
100.00	500	35.0	1.00	20.0	10.0
102.00	851	35.0	1.00	20.2	10.1
104.00	2511	35.0	1.00	20.4	10.2
106.00	4092	35.0	1.00	20.6	10.3
108.00	3011	35.0	1.00	20.8	10.4
110.00	1204	35.0	1.00	21.0	10.5
112.00	622	35.0	1.00	21.2	10.6
